time,open,high,low,close,tick_volume,spread,real_volume
2021-12-21 10:25:00,113.764,113.769,113.762,113.763,35,0,0
2021-12-21 10:26:00,113.763,113.763,113.753,113.761,28,0,0
2021-12-21 10:27:00,113.761,113.763,113.755,113.759,22,0,0
2021-12-21 10:28:00,113.759,113.759,113.75,113.751,23,0,0
2021-12-21 10:29:00,113.753,113.766,113.748,113.766,35,0,0
2021-12-21 10:30:00,113.765,113.765,113.751,113.751,18,0,0
2021-12-21 10:31:00,113.751,113.754,113.743,113.743,26,0,0
2021-12-21 10:32:00,113.745,113.748,113.735,113.747,30,0,0
2021-12-21 10:33:00,113.747,113.749,113.732,113.735,19,0,0
2021-12-21 10:34:00,113.734,113.74,113.733,113.738,21,0,0
2021-12-21 10:35:00,113.738,113.739,113.732,113.733,30,0,0
2021-12-21 10:36:00,113.734,113.736,113.727,113.736,26,0,0
2021-12-21 10:37:00,113.736,113.736,113.72,113.721,25,0,0
2021-12-21 10:38:00,113.721,113.728,113.719,113.722,27,0,0
2021-12-21 10:39:00,113.723,113.728,113.721,113.725,30,0,0
2021-12-21 10:40:00,113.725,113.737,113.724,113.728,25,0,0
2021-12-21 10:41:00,113.728,113.728,113.705,113.705,41,0,0
2021-12-21 10:42:00,113.705,113.708,113.697,113.704,36,0,0
2021-12-21 10:43:00,113.704,113.717,113.704,113.716,27,0,0
2021-12-21 10:44:00,113.716,113.718,113.706,113.712,50,0,0
2021-12-21 10:45:00,113.712,113.712,113.698,113.698,29,0,0
2021-12-21 10:46:00,113.698,113.699,113.691,113.693,37,0,0
2021-12-21 10:47:00,113.692,113.693,113.671,113.674,57,0,0
2021-12-21 10:48:00,113.673,113.673,113.645,113.649,45,0,0
2021-12-21 10:49:00,113.649,113.656,113.642,113.655,36,0,0
2021-12-21 10:50:00,113.654,113.662,113.648,113.655,48,0,0
2021-12-21 10:51:00,113.655,113.655,113.634,113.636,51,0,0
2021-12-21 10:52:00,113.637,113.641,113.632,113.636,43,0,0
2021-12-21 10:53:00,113.636,113.636,113.625,113.633,33,0,0
2021-12-21 10:54:00,113.632,113.648,113.631,113.635,46,0,0
2021-12-21 10:55:00,113.635,113.668,113.635,113.66,68,0,0
2021-12-21 10:56:00,113.662,113.677,113.661,113.671,49,0,0
2021-12-21 10:57:00,113.671,113.68,113.659,113.661,55,0,0
2021-12-21 10:58:00,113.661,113.666,113.657,113.663,43,0,0
2021-12-21 10:59:00,113.664,113.668,113.661,113.664,32,0,0
2021-12-21 11:00:00,113.663,113.67,113.641,113.664,101,0,0
2021-12-21 11:01:00,113.664,113.689,113.663,113.684,65,0,0
2021-12-21 11:02:00,113.684,113.686,113.662,113.666,60,0,0
2021-12-21 11:03:00,113.666,113.668,113.655,113.664,53,0,0
2021-12-21 11:04:00,113.665,113.666,113.651,113.661,26,0,0
2021-12-21 11:05:00,113.662,113.682,113.657,113.681,61,0,0
2021-12-21 11:06:00,113.684,113.686,113.671,113.675,62,0,0
2021-12-21 11:07:00,113.675,113.675,113.662,113.662,25,0,0
2021-12-21 11:08:00,113.662,113.663,113.644,113.653,60,0,0
2021-12-21 11:09:00,113.652,113.658,113.65,113.653,51,0,0
2021-12-21 11:10:00,113.656,113.663,113.649,113.656,49,0,0
